food_name,g_ml,specific_gravity,biblio_id,category
"alcohol, ethyl",0.789,,TB,"Beverages, alcoholic"
"alfalfa, leaf, meal",0.23,,ASI,Vegetables
"alfalfa, meal, dehydrated 17%",0.32,,ASI,Vegetables
"alfalfa, meal, fine ground",0.295,,ASI,Vegetables
"alfalfa, meal, suncured 13%",0.22,,ASI,Vegetables
"alfalfa, seed",0.745,,ASI,Vegetables
"alfalfa, stem meal",0.19,,ASI,Vegetables
"alfalfa,meal, dehydrated 13%",0.275,,ASI,Vegetables
almonds,0.46,,ASI,Nuts and seeds
animal fat,0.7,,KEN,Oils and fats
"apple juice, canned or bottled, unsweetened, with added ascorbic acid",1.043396693,1.045725,USDA,"Beverages, non alcoholic (including soft drinks and juices)"
"apple juice, canned or bottled, unsweetened, without added ascorbic acid",1.043396693,1.045725,USDA,"Beverages, non alcoholic (including soft drinks and juices)"
"apple slices, dried",0.24,,ASI,Fruits
"arrowroot/cocoyam, boiled",0.535,,KEN,Tubers and products
"arrowroot/cocoyam, raw",0.519999981,,KEN,Tubers and products
baking powder,0.9,,ASI,Miscellaneous foods
barley,0.62,,TB,Cereal and cereal products
"barley malt, flour",0.72,,ASI,Cereal and cereal products
"barley, fine ground",0.74,,ASI,Cereal and cereal products
"barley, flour",0.61,,ASI,Cereal and cereal products
"barley, flour, malted ",0.64,,ASI,Cereal and cereal products
"barley, ground",0.4,,ASI,Cereal and cereal products
"barley, malted",0.49,,ASI,Cereal and cereal products
"barley, meal",0.45,,ASI,Cereal and cereal products
"barley, rolled",0.36,,ASI,Cereal and cereal products
"barley, scoured",0.66,,ASI,Cereal and cereal products
"barley, whole",0.65,,ASI,Cereal and cereal products
bean soup,1.054,,S&W,Soups
"beans, white",0.73,,ASI,Legumes
beef and noodles (no sauce),0.65,,S&W,Mixed dishes
beef and noodles in gravy (mixture),1.038,,S&W,Mixed dishes
"beef stew, canned",1.05,,S&W,Mixed dishes
"beef, noodles and vegetables (no sauce)",0.675,,S&W,Mixed dishes
"beer, commercial (white cap etc.)",0.970000029,,KEN,"Beverages, alcoholic"
